# stimulus 0 y=0
8 0.001130
18 0.004078
19 0.009587
25 0.007300
26 0.003488
34 0.003172
38 0.002500
40 0.008406
45 0.002763
56 0.007680
60 0.002723
61 0.001124
63 0.004968
64 0.005438
70 0.001928
74 0.002367
78 0.008880
82 0.004373
85 0.005302
86 0.007278

# stimulus 1 y=1
1 0.001233
8 0.001130
10 0.008796
11 0.004405
16 0.009533
18 0.004078
19 0.009587
21 0.001133
22 0.001728
25 0.007300
26 0.003488
28 0.003662
32 0.009020
34 0.003172
38 0.002500
39 0.000452
40 0.008406
45 0.002763
47 0.000482
49 0.001963
56 0.007680
60 0.002723
61 0.001124
63 0.004968
64 0.005438
67 0.004419
70 0.001928
71 0.004572
74 0.002367
75 0.006490
78 0.008880
81 0.005450
82 0.004373
84 0.005324
85 0.005302
86 0.007278
88 0.009468
89 0.001707
93 0.003649
94 0.000794

# stimulus 2 y=1
7 0.003966
8 0.001130
15 0.001821
18 0.004078
19 0.009587
25 0.007300
26 0.003488
29 0.004671
34 0.003172
35 0.009814
36 0.002848
37 0.008099
38 0.002500
40 0.008406
45 0.002763
46 0.003834
54 0.004064
55 0.008520
56 0.007680
57 0.001932
60 0.002723
61 0.001124
62 0.003877
63 0.004968
64 0.005438
65 0.009235
68 0.007432
70 0.001928
72 0.005396
74 0.002367
76 0.002050
77 0.007661
78 0.008880
82 0.004373
83 0.005020
85 0.005302
86 0.007278
90 0.002237
91 0.008871
96 0.006270

# stimulus 3 y=0
1 0.001233
7 0.003966
8 0.001130
10 0.008796
11 0.004405
15 0.001821
16 0.009533
18 0.004078
19 0.009587
21 0.001133
22 0.001728
25 0.007300
26 0.003488
28 0.003662
29 0.004671
32 0.009020
34 0.003172
35 0.009814
36 0.002848
37 0.008099
38 0.002500
39 0.000452
40 0.008406
45 0.002763
46 0.003834
47 0.000482
49 0.001963
54 0.004064
55 0.008520
56 0.007680
57 0.001932
60 0.002723
61 0.001124
62 0.003877
63 0.004968
64 0.005438
65 0.009235
67 0.004419
68 0.007432
70 0.001928
71 0.004572
72 0.005396
74 0.002367
75 0.006490
76 0.002050
77 0.007661
78 0.008880
81 0.005450
82 0.004373
83 0.005020
84 0.005324
85 0.005302
86 0.007278
88 0.009468
89 0.001707
90 0.002237
91 0.008871
93 0.003649
94 0.000794
96 0.006270
